flowerID,leafID,contrast,visual_system
flower_Scholtzia_capitata,leaves_Chorizema_cordatum,5.235446143,USML
flower_Scholtzia_capitata,leaves_Melaleuca_spathulata,6.035850582,USML
flower_Scholtzia_capitata,leaves_Phebalium_sp,4.496663548,USML
flower_Scholtzia_capitata,leaves_Grevillea_barklyana,4.557036643,USML
flower_Scholtzia_capitata,leaves_Acacia_spilleriana,5.46278919,USML
flower_Scholtzia_capitata,leaves_Ozothamnus_diosmifolius,6.214468755,USML
flower_Scholtzia_capitata,leaves_Eriostemon_australasius,3.814719003,USML
flower_Scholtzia_capitata,leaves_Chamelaucium_.Lilac_Spring.,6.889142627,USML
flower_Scholtzia_capitata,leaves_Epacris_impressa_.Bega.,6.162830368,USML
flower_Scholtzia_capitata,leaves_Epacris_longiflora,4.820344227,USML
flower_Scholtzia_capitata,leaves_Actinotus_helianthi,3.640940209,USML
flower_Scholtzia_capitata,leaves_Leptospermum_liversidgei,5.130965416,USML
flower_Scholtzia_capitata,leaves_Leptospermum_.Freya.,6.135817057,USML
flower_Eremophila_laanii,leaves_Eucalyptus_celastroides,11.01873045,USML
flower_Eremophila_laanii,leaves_Melaleuca_conothamnoides,9.94151167,USML
flower_Eremophila_laanii,leaves_Scholtzia_capitata,13.06216787,USML
flower_Eremophila_laanii,leaves_Eremophila_laanii,7.519701521,USML
flower_Eremophila_laanii,leaves_Callistemon_phoeniceus,13.70143818,USML
flower_Eremophila_laanii,leaves_Grevillea_asteriscosa,8.53230766,USML
flower_Eremophila_laanii,leaves_Grevillea_eriostachys,9.720438094,USML
flower_Eremophila_laanii,leaves_Melaleuca_fulgens,13.11217763,USML
flower_Eremophila_laanii,leaves_Verticordia_plumosa,12.65849231,USML
flower_Eremophila_laanii,leaves_Acacia_glaucoptera,12.1009935,USML
flower_Eremophila_laanii,leaves_Goodenia_scapigera,9.790614464,USML
flower_Eremophila_laanii,leaves_Calothamnus_quadrifidus,3.866518783,USML
flower_Eremophila_laanii,leaves_Eremophila_nivea,12.76909748,USML
flower_Eremophila_laanii,leaves_Olearia_homolepis,8.552139634,USML
flower_Eremophila_laanii,leaves_Daviesia_longifolia,13.1586232,USML
flower_Eremophila_laanii,leaves_Eucalyptus_petiolaris,11.5631433,USML
flower_Eremophila_laanii,leaves_Eucalyptus_wyolensis,14.08311253,USML
flower_Eremophila_laanii,leaves_Eremophila_maculata,11.27432472,USML
flower_Eremophila_laanii,leaves_Verticordia_dichroma,14.6821503,USML
flower_Eremophila_laanii,leaves_Chamelaucium_uncinatum,15.00269563,USML
flower_Eremophila_laanii,leaves_Gastrolobium_bilobus,11.43591545,USML
flower_Eremophila_laanii,leaves_Eremophila_calorhabdos,10.95097776,USML
flower_Eremophila_laanii,leaves_Scholtzia_spathulata,13.19373589,USML
flower_Eremophila_laanii,leaves_Goodenia_sp,11.91379827,USML
flower_Eremophila_laanii,leaves_Eremophila_hygrophana,3.973322754,USML
flower_Eremophila_laanii,leaves_Eremophila_georgei,11.17257176,USML
flower_Eremophila_laanii,leaves_Eucalyptus_sp1,11.70249231,USML
flower_Eremophila_laanii,leaves_Eucalyptus_sp2,11.28539983,USML
flower_Eremophila_laanii,leaves_Eucalyptus_sp3,11.29356578,USML
flower_Eremophila_laanii,leaves_Callistemon_salignus,9.215497581,USML
flower_Eremophila_laanii,leaves_Grevillea_x_semperflorens,14.22908342,USML
flower_Eremophila_laanii,leaves_Senna_artemisioides,11.70062602,USML
flower_Eremophila_laanii,leaves_Senna_sp,12.82584924,USML
flower_Eremophila_laanii,leaves_Chorizema_cordatum,12.4614366,USML
flower_Eremophila_laanii,leaves_Melaleuca_spathulata,13.57207504,USML
flower_Eremophila_laanii,leaves_Phebalium_sp,11.28151815,USML
flower_Eremophila_laanii,leaves_Grevillea_barklyana,11.76396775,USML
flower_Eremophila_laanii,leaves_Acacia_spilleriana,12.82784799,USML
flower_Eremophila_laanii,leaves_Ozothamnus_diosmifolius,13.77361,USML
flower_Eremophila_laanii,leaves_Eriostemon_australasius,10.757001,USML
flower_Eremophila_laanii,leaves_Chamelaucium_.Lilac_Spring.,14.47472477,USML
flower_Eremophila_laanii,leaves_Epacris_impressa_.Bega.,13.68891892,USML
flower_Eremophila_laanii,leaves_Epacris_longiflora,12.10333186,USML
flower_Eremophila_laanii,leaves_Actinotus_helianthi,10.54162211,USML
flower_Eremophila_laanii,leaves_Leptospermum_liversidgei,12.59176612,USML
flower_Eremophila_laanii,leaves_Leptospermum_.Freya.,13.57506879,USML
flower_Callistemon_phoeniceus,leaves_Eucalyptus_celastroides,4.215933199,USML
flower_Callistemon_phoeniceus,leaves_Melaleuca_conothamnoides,4.85592731,USML
flower_Callistemon_phoeniceus,leaves_Scholtzia_capitata,3.793025972,USML
flower_Callistemon_phoeniceus,leaves_Eremophila_laanii,6.571308075,USML
flower_Callistemon_phoeniceus,leaves_Callistemon_phoeniceus,4.185152387,USML
flower_Callistemon_phoeniceus,leaves_Grevillea_asteriscosa,5.484306813,USML
flower_Callistemon_phoeniceus,leaves_Grevillea_eriostachys,4.751341816,USML
flower_Callistemon_phoeniceus,leaves_Melaleuca_fulgens,4.026277521,USML
flower_Callistemon_phoeniceus,leaves_Verticordia_plumosa,3.739429791,USML
flower_Callistemon_phoeniceus,leaves_Acacia_glaucoptera,2.921119707,USML
flower_Callistemon_phoeniceus,leaves_Goodenia_scapigera,5.000925074,USML
flower_Callistemon_phoeniceus,leaves_Calothamnus_quadrifidus,17.22545568,USML
flower_Callistemon_phoeniceus,leaves_Eremophila_nivea,3.43804818,USML
flower_Callistemon_phoeniceus,leaves_Olearia_homolepis,6.294028219,USML
flower_Callistemon_phoeniceus,leaves_Daviesia_longifolia,3.899083522,USML
flower_Callistemon_phoeniceus,leaves_Eucalyptus_petiolaris,3.997511929,USML
flower_Callistemon_phoeniceus,leaves_Eucalyptus_wyolensis,4.111262074,USML
flower_Callistemon_phoeniceus,leaves_Eremophila_maculata,4.189500073,USML
flower_Callistemon_phoeniceus,leaves_Verticordia_dichroma,4.772263946,USML
flower_Callistemon_phoeniceus,leaves_Chamelaucium_uncinatum,4.910109609,USML
flower_Callistemon_phoeniceus,leaves_Gastrolobium_bilobus,4.183556802,USML
flower_Callistemon_phoeniceus,leaves_Eremophila_calorhabdos,3.892026924,USML
flower_Callistemon_phoeniceus,leaves_Scholtzia_spathulata,3.837891744,USML
flower_Callistemon_phoeniceus,leaves_Goodenia_sp,3.961439797,USML
flower_Callistemon_phoeniceus,leaves_Eremophila_hygrophana,9.758394936,USML
flower_Callistemon_phoeniceus,leaves_Eremophila_georgei,4.140312234,USML
flower_Callistemon_phoeniceus,leaves_Eucalyptus_sp1,3.981088392,USML
flower_Callistemon_phoeniceus,leaves_Eucalyptus_sp2,4.043237235,USML
flower_Callistemon_phoeniceus,leaves_Eucalyptus_sp3,4.175225029,USML
flower_Callistemon_phoeniceus,leaves_Callistemon_salignus,5.551390171,USML
flower_Callistemon_phoeniceus,leaves_Grevillea_x_semperflorens,4.489559675,USML
flower_Callistemon_phoeniceus,leaves_Senna_artemisioides,3.785501249,USML
flower_Callistemon_phoeniceus,leaves_Senna_sp,4.109528091,USML
flower_Callistemon_phoeniceus,leaves_Chorizema_cordatum,4.173330208,USML
flower_Callistemon_phoeniceus,leaves_Melaleuca_spathulata,4.050109943,USML
flower_Callistemon_phoeniceus,leaves_Phebalium_sp,4.463326834,USML
flower_Callistemon_phoeniceus,leaves_Grevillea_barklyana,3.85794058,USML
flower_Callistemon_phoeniceus,leaves_Acacia_spilleriana,4.242628442,USML
flower_Callistemon_phoeniceus,leaves_Ozothamnus_diosmifolius,4.143356168,USML
flower_Callistemon_phoeniceus,leaves_Eriostemon_australasius,4.428925899,USML
flower_Callistemon_phoeniceus,leaves_Chamelaucium_.Lilac_Spring.,4.470680144,USML
flower_Callistemon_phoeniceus,leaves_Epacris_impressa_.Bega.,4.401963617,USML
flower_Callistemon_phoeniceus,leaves_Epacris_longiflora,3.92319932,USML
flower_Callistemon_phoeniceus,leaves_Actinotus_helianthi,4.326939527,USML
flower_Callistemon_phoeniceus,leaves_Leptospermum_liversidgei,3.609081424,USML
flower_Callistemon_phoeniceus,leaves_Leptospermum_.Freya.,4.382788981,USML
flower_Grevillea_asteriscosa,leaves_Eucalyptus_celastroides,2.934091159,USML
flower_Grevillea_asteriscosa,leaves_Melaleuca_conothamnoides,4.415438507,USML
flower_Grevillea_asteriscosa,leaves_Scholtzia_capitata,1.649601613,USML
flower_Grevillea_asteriscosa,leaves_Eremophila_laanii,6.279728369,USML
flower_Grevillea_asteriscosa,leaves_Callistemon_phoeniceus,1.940887028,USML
flower_Grevillea_asteriscosa,leaves_Grevillea_asteriscosa,5.216432762,USML
flower_Grevillea_asteriscosa,leaves_Grevillea_eriostachys,4.517259575,USML
flower_Grevillea_asteriscosa,leaves_Melaleuca_fulgens,1.75778325,USML
flower_Grevillea_asteriscosa,leaves_Verticordia_plumosa,1.989788766,USML
flower_Grevillea_asteriscosa,leaves_Acacia_glaucoptera,2.059637846,USML
flower_Grevillea_asteriscosa,leaves_Goodenia_scapigera,4.686331822,USML
flower_Grevillea_asteriscosa,leaves_Calothamnus_quadrifidus,17.20101113,USML
flower_Grevillea_asteriscosa,leaves_Eremophila_nivea,1.357290699,USML
flower_Grevillea_asteriscosa,leaves_Olearia_homolepis,6.444789051,USML
flower_Grevillea_asteriscosa,leaves_Daviesia_longifolia,1.590763364,USML
flower_Grevillea_asteriscosa,leaves_Eucalyptus_petiolaris,2.693648913,USML
flower_Grevillea_asteriscosa,leaves_Eucalyptus_wyolensis,1.785628443,USML
flower_Grevillea_asteriscosa,leaves_Eremophila_maculata,2.623968684,USML
flower_Grevillea_asteriscosa,leaves_Verticordia_dichroma,2.249493391,USML
flower_Grevillea_asteriscosa,leaves_Chamelaucium_uncinatum,2.473260046,USML
flower_Grevillea_asteriscosa,leaves_Gastrolobium_bilobus,3.321093187,USML
flower_Grevillea_asteriscosa,leaves_Eremophila_calorhabdos,3.075033532,USML
flower_Grevillea_asteriscosa,leaves_Scholtzia_spathulata,1.492995826,USML
flower_Grevillea_asteriscosa,leaves_Goodenia_sp,2.758816387,USML
flower_Grevillea_asteriscosa,leaves_Eremophila_hygrophana,9.488123399,USML
flower_Grevillea_asteriscosa,leaves_Eremophila_georgei,2.705197642,USML
flower_Grevillea_asteriscosa,leaves_Eucalyptus_sp1,2.527694039,USML
flower_Grevillea_asteriscosa,leaves_Eucalyptus_sp2,2.869170131,USML
flower_Grevillea_asteriscosa,leaves_Eucalyptus_sp3,2.915005792,USML
flower_Grevillea_asteriscosa,leaves_Callistemon_salignus,5.496261094,USML
flower_Grevillea_asteriscosa,leaves_Grevillea_x_semperflorens,1.930134784,USML
flower_Grevillea_asteriscosa,leaves_Senna_artemisioides,2.676786189,USML
flower_Grevillea_asteriscosa,leaves_Senna_sp,1.966877971,USML
flower_Grevillea_asteriscosa,leaves_Chorizema_cordatum,2.311228039,USML
flower_Grevillea_asteriscosa,leaves_Melaleuca_spathulata,1.555262147,USML
flower_Grevillea_asteriscosa,leaves_Phebalium_sp,3.344882967,USML
flower_Grevillea_asteriscosa,leaves_Grevillea_barklyana,2.44245532,USML
flower_Grevillea_asteriscosa,leaves_Acacia_spilleriana,2.031361153,USML
flower_Grevillea_asteriscosa,leaves_Ozothamnus_diosmifolius,1.597592149,USML
flower_Grevillea_asteriscosa,leaves_Eriostemon_australasius,3.349497195,USML
flower_Grevillea_asteriscosa,leaves_Chamelaucium_.Lilac_Spring.,1.966935572,USML
flower_Grevillea_asteriscosa,leaves_Epacris_impressa_.Bega.,1.824938672,USML
flower_Grevillea_asteriscosa,leaves_Epacris_longiflora,2.211766511,USML
flower_Grevillea_asteriscosa,leaves_Actinotus_helianthi,3.475359187,USML
flower_Grevillea_asteriscosa,leaves_Leptospermum_liversidgei,1.590741624,USML
flower_Grevillea_asteriscosa,leaves_Leptospermum_.Freya.,1.960786179,USML
flower_Grevillea_eriostachys,leaves_Eucalyptus_celastroides,4.64168037,USML
flower_Grevillea_eriostachys,leaves_Melaleuca_conothamnoides,3.300949414,USML
flower_Grevillea_eriostachys,leaves_Scholtzia_capitata,5.970230425,USML
flower_Grevillea_eriostachys,leaves_Eremophila_laanii,3.984871042,USML
flower_Grevillea_eriostachys,leaves_Callistemon_phoeniceus,6.550454652,USML
flower_Grevillea_eriostachys,leaves_Grevillea_asteriscosa,3.48507054,USML
flower_Grevillea_eriostachys,leaves_Grevillea_eriostachys,2.993157278,USML
flower_Grevillea_eriostachys,leaves_Melaleuca_fulgens,6.189054717,USML
flower_Grevillea_eriostachys,leaves_Verticordia_plumosa,5.426235189,USML
flower_Grevillea_eriostachys,leaves_Acacia_glaucoptera,4.454864951,USML
flower_Grevillea_eriostachys,leaves_Goodenia_scapigera,3.078558783,USML
flower_Grevillea_eriostachys,leaves_Calothamnus_quadrifidus,13.87230195,USML
flower_Grevillea_eriostachys,leaves_Eremophila_nivea,5.704659477,USML
flower_Grevillea_eriostachys,leaves_Olearia_homolepis,2.564764262,USML
flower_Grevillea_eriostachys,leaves_Daviesia_longifolia,6.201915992,USML
flower_Grevillea_eriostachys,leaves_Eucalyptus_petiolaris,4.669613113,USML
flower_Grevillea_eriostachys,leaves_Eucalyptus_wyolensis,6.869685186,USML
flower_Grevillea_eriostachys,leaves_Eremophila_maculata,5.060067681,USML
flower_Grevillea_eriostachys,leaves_Verticordia_dichroma,7.831525234,USML
flower_Grevillea_eriostachys,leaves_Chamelaucium_uncinatum,8.044868477,USML
flower_Grevillea_eriostachys,leaves_Gastrolobium_bilobus,4.095216179,USML
flower_Grevillea_eriostachys,leaves_Eremophila_calorhabdos,4.002241875,USML
flower_Grevillea_eriostachys,leaves_Scholtzia_spathulata,6.230498661,USML
flower_Grevillea_eriostachys,leaves_Goodenia_sp,4.629838797,USML
flower_Grevillea_eriostachys,leaves_Eremophila_hygrophana,7.14865126,USML
flower_Grevillea_eriostachys,leaves_Eremophila_georgei,4.870850488,USML
flower_Grevillea_eriostachys,leaves_Eucalyptus_sp1,4.874312321,USML
flower_Grevillea_eriostachys,leaves_Eucalyptus_sp2,4.475345691,USML
flower_Grevillea_eriostachys,leaves_Eucalyptus_sp3,4.591977037,USML
